DBID	locus	strain	gene_name	gene_name2	proteins_molecular_weight	protein_length
S000001291	YIL029C	S. cerevisiae	EMA17	Efficient Mitochondria targeting-Associated protein	16600	142
S000001292	YIL030C	S. cerevisiae	SSM4	Suppressor of mrna Stability Mutant	151436	1319
S000001293	YIL031W	S. cerevisiae	ULP2	UbL-specific Protease	116875.8	1034
S000001294	YIL032C	S. cerevisiae			13799.4	118
S000001295	YIL033C	S. cerevisiae	BCY1	Bypass of CYclic-AMP requirement	47220.6	416
S000001296	YIL034C	S. cerevisiae	CAP2	CAPping	32607.3	287
S000001297	YIL035C	S. cerevisiae	CKA1	Casein Kinase Alpha subunit	44672	372
S000001298	YIL036W	S. cerevisiae	CST6	Chromosome STability	65266.2	587
S000001299	YIL037C	S. cerevisiae	PRM2	Pheromone-Regulated Membrane protein	75023.8	656
S000001300	YIL038C	S. cerevisiae	NOT3	Negative On TATA	94385	836
S000001301	YIL039W	S. cerevisiae	TED1	Trafficking of Emp24p/Erv25p-dependent cargo Disrupted	54909.9	473
S000001302	YIL040W	S. cerevisiae	APQ12	APical growth revealed by Quantitative morphological analysis	16511.8	138
S000001303	YIL041W	S. cerevisiae	GVP36	Golgi Vesicle Protein	36655.4	326
S000001304	YIL042C	S. cerevisiae	PKP1	Protein Kinase of PDH	45448.3	394
S000001305	YIL043C	S. cerevisiae	CBR1	Cytochrome b Reductase	31498.2	284
S000001306	YIL044C	S. cerevisiae	AGE2	ArfGAP Effector	32650	298
S000001307	YIL045W	S. cerevisiae	PIG2	Protein Interacting with Gsy2p	61942.2	538
S000001308	YIL046W	S. cerevisiae	MET30	METhionine requiring	72838.5	640
S000001309	YIL047C	S. cerevisiae	SYG1	Suppressor of Yeast Gpa1	104232.6	902
S000001310	YIL048W	S. cerevisiae	NEO1	NEOmycin-resistance	130203.1	1151
S000001311	YIL049W	S. cerevisiae	DFG10	Defective for Filamentous Growth	30315.8	253
S000001312	YIL050W	S. cerevisiae	PCL7	Pho85 CycLin	32026.5	285
S000001313	YIL051C	S. cerevisiae	MMF1	Mitochondrial Matrix Factor	15912.5	145
S000001314	YIL052C	S. cerevisiae	RPL34B	Ribosomal Protein of the Large subunit	13666.5	121
S000001315	YIL053W	S. cerevisiae	GPP1	Glycerol-3-Phosphate Phosphatase	27939	250
S000001316	YIL054W	S. cerevisiae			12044.4	105
S000001317	YIL055C	S. cerevisiae			70731.2	627
S000001318	YIL056W	S. cerevisiae	VHR1	VHt1 Regulator	71431.6	640
S000001319	YIL057C	S. cerevisiae	RGI2	Respiratory growth induced	19228.1	164
S000001320	YIL058W	S. cerevisiae			10335.5	94
S000001321	YIL059C	S. cerevisiae			13023.9	121
S000001322	YIL060W	S. cerevisiae			15680.9	144
S000001323	YIL061C	S. cerevisiae	SNP1		34470.7	300
S000001324	YIL062C	S. cerevisiae	ARC15	ARp2/3 Complex subunit	17131.6	154
S000001325	YIL063C	S. cerevisiae	YRB2	Yeast Ran Binder	36053.6	327
S000001326	YIL064W	S. cerevisiae	EFM4	Elongation Factor Methyltransferase	28681.8	257
S000001327	YIL065C	S. cerevisiae	FIS1	mitochondrial FISsion	17738.7	155
S000001328	YIL066C	S. cerevisiae	RNR3	RiboNucleotide Reductase	97498.6	869
S000001329	YIL067C	S. cerevisiae			75477.1	678
S000001330	YIL068C	S. cerevisiae	SEC6	SECretory	93396.5	805
S000001331	YIL069C	S. cerevisiae	RPS24B	Ribosomal Protein of the Small subunit	15348.1	135
S000001332	YIL070C	S. cerevisiae	MAM33	Mitochondrial Acidic Matrix protein	30111.5	266
S000001333	YIL071C	S. cerevisiae	PCI8	Proteasome-COP9 signalosome (CSN)-eIF3	51262.2	444
S000001334	YIL072W	S. cerevisiae	HOP1	HOmolog Pairing	68881.5	605
S000001335	YIL073C	S. cerevisiae	SPO22	SPOrulation	112405	975
S000001336	YIL074C	S. cerevisiae	SER33	SERine requiring	51181.7	469
S000001337	YIL075C	S. cerevisiae	RPN2	Regulatory Particle Non-ATPase	104223	945
S000001338	YIL076W	S. cerevisiae	SEC28	SECretory	33805	296
S000001339	YIL077C	S. cerevisiae	RCI37	Respiratory Chain Interacting protein of ~37 kDa	36950.5	320
S000001340	YIL078W	S. cerevisiae	THS1	THreonyl tRNA Synthetase	84517.4	734
S000001341	YIL079C	S. cerevisiae	AIR1	Arginine methyltransferase-Interacting RING finger protein	41648.8	360
S000001344	YIL082W	S. cerevisiae			34105.2	290
S000001345	YIL083C	S. cerevisiae	CAB2	Coenzyme A Biosynthesis	41869.3	365
S000001346	YIL084C	S. cerevisiae	SDS3	Suppressor of Defective Silencing	37629.9	327
S000001347	YIL085C	S. cerevisiae	KTR7	Kre Two Related	61416	517
S000001348	YIL086C	S. cerevisiae			11596.5	102
S000001349	YIL087C	S. cerevisiae	AIM19	Altered Inheritance rate of Mitochondria	16931.8	157
S000001350	YIL088C	S. cerevisiae	AVT7	Amino acid Vacuolar Transport	53728	490
S000001351	YIL089W	S. cerevisiae			23869.2	205
S000001352	YIL090W	S. cerevisiae	ICE2	Inheritance of Cortical ER	56347.3	491
S000001353	YIL091C	S. cerevisiae	UTP25	U Three Protein	83980	721
S000001354	YIL092W	S. cerevisiae			71024.3	633
S000001355	YIL093C	S. cerevisiae	RSM25	Ribosomal Small subunit of Mitochondria	30508.7	264
S000001356	YIL094C	S. cerevisiae	LYS12	LYSine requiring	40071.4	371
S000001357	YIL095W	S. cerevisiae	PRK1	p53 Regulatory Kinase	91064.5	810
S000001358	YIL096C	S. cerevisiae	BMT5	Base Methyltransferase of Twenty five S rRNA 5	39422.2	336
S000001359	YIL097W	S. cerevisiae	FYV10	Function required for Yeast Viability	59891.8	516
S000001360	YIL098C	S. cerevisiae	FMC1	Formation of Mitochondrial Complexes	18372.3	155
S000001361	YIL099W	S. cerevisiae	SGA1	Sporulation-specific GlycoAmylase	61439.2	549
S000001362	YIL100W	S. cerevisiae			13494.6	117
S000001363	YIL101C	S. cerevisiae	XBP1	XhoI site-Binding Protein	72707.4	647
S000001364	YIL102C	S. cerevisiae			11284.9	101
S000001365	YIL103W	S. cerevisiae	DPH1	DiPHthamide biosynthesis	48315.3	425
S000001366	YIL104C	S. cerevisiae	SHQ1	Small nucleolar RNAs of the box H/ACA family Quantitative accumulation	59119	507
S000001367	YIL105C	S. cerevisiae	SLM1	Synthetic Lethal with Mss4	77997.1	686
S000001368	YIL106W	S. cerevisiae	MOB1	Mps One Binder	35877.8	314
S000001369	YIL107C	S. cerevisiae	PFK26	6-PhosphoFructo-2-Kinase	93425.2	827
S000001370	YIL108W	S. cerevisiae			77415.1	696
S000001371	YIL109C	S. cerevisiae	SEC24	SECretory	103623.8	926
S000001372	YIL110W	S. cerevisiae	HPM1	Histidine Protein Methyltransferase	42489	377
S000001373	YIL111W	S. cerevisiae	COX5B	Cytochrome c OXidase	17205	151
S000001374	YIL112W	S. cerevisiae	HOS4	Hda One Similar	123528.7	1083
S000001375	YIL113W	S. cerevisiae	SDP1	Stress-inducible Dual specificity Phosphatase	23886.8	209
S000001376	YIL114C	S. cerevisiae	POR2	PORin	31188.6	281
S000001377	YIL115C	S. cerevisiae	NUP159	NUclear Pore	158830.7	1460
S000001378	YIL116W	S. cerevisiae	HIS5	HIStidine requiring	42643.6	385
S000001379	YIL117C	S. cerevisiae	PRM5	Pheromone-Regulated Membrane protein	34650	318
S000001380	YIL118W	S. cerevisiae	RHO3	Ras HOmolog	25303.7	231
S000001381	YIL119C	S. cerevisiae	RPI1	Ras-cAMP Pathway Inhibitor	46632.5	407
S000001382	YIL120W	S. cerevisiae	QDR1	QuiniDine Resistance	61776.5	563
S000001383	YIL121W	S. cerevisiae	QDR2	QuiniDine Resistance	59636.7	542
S000001384	YIL122W	S. cerevisiae	POG1	Promoter Of Growth	39503	351
S000001385	YIL123W	S. cerevisiae	SIM1	Start Independent of Mitosis	48167.3	476
S000001386	YIL124W	S. cerevisiae	AYR1	1-AcyldihYdroxyacetone-phosphate Reductase	32823.3	297
S000001387	YIL125W	S. cerevisiae	KGD1	alpha-KetoGlutarate Dehydrogenase	114412.3	1014
S000001388	YIL126W	S. cerevisiae	STH1	SNF Two Homolog	156734.6	1359
S000001389	YIL127C	S. cerevisiae	RRT14	Regulator of rDNA Transcription	23861.6	206
S000001390	YIL128W	S. cerevisiae	MET18	METhionine requiring	117867.4	1032
S000001391	YIL129C	S. cerevisiae	TAO3	Transcriptional Activator of OCH1	269830.2	2376
S000001392	YIL130W	S. cerevisiae	ASG1	Activator of Stress Genes	108770.4	964
S000001393	YIL131C	S. cerevisiae	FKH1	ForK head Homolog	53493.7	484
S000001394	YIL132C	S. cerevisiae	CSM2	Chromosome Segregation in Meiosis	24955	213
S000001395	YIL133C	S. cerevisiae	RPL16A	Ribosomal Protein of the Large subunit	22228.6	199
S000001396	YIL134W	S. cerevisiae	FLX1	FLavin eXchange	34427.7	311
S000001397	YIL135C	S. cerevisiae	VHS2	Viable in a Hal3 Sit4 background	47966.9	436
S000001398	YIL136W	S. cerevisiae	OM45	Outer Membrane	44584	393
S000001399	YIL137C	S. cerevisiae	TMA108	Translation Machinery Associated	107709	946
S000001400	YIL138C	S. cerevisiae	TPM2	TroPoMyosin	19072.9	161
S000001401	YIL139C	S. cerevisiae	REV7	REVersionless	28744.8	245
S000001402	YIL140W	S. cerevisiae	AXL2	AXiaL 2 bud site selection	90751.9	823
S000001403	YIL141W	S. cerevisiae			14438.6	129
S000001404	YIL142W	S. cerevisiae	CCT2	Chaperonin Containing TCP-1	57197	527
S000001405	YIL143C	S. cerevisiae	SSL2	Suppressor of Stem-Loop mutation	95324.8	843
S000001406	YIL144W	S. cerevisiae	NDC80	Nuclear Division Cycle	80494.3	691
S000001407	YIL145C	S. cerevisiae	PAN6	PANtothenate biosynthesis	35024.5	309
S000001408	YIL146C	S. cerevisiae	ATG32	AuTophaGy related	58967.5	529
S000001409	YIL147C	S. cerevisiae	SLN1	Synthetic Lethal of N-end rule	134435.7	1220
S000001410	YIL148W	S. cerevisiae	RPL40A	Ribosomal Protein of the Large subunit	14568.3	128
S000001411	YIL149C	S. cerevisiae	MLP2	Myosin-Like Protein	195121.7	1679
S000001412	YIL150C	S. cerevisiae	MCM10	MiniChromosome Maintenance	65847.2	571
S000001413	YIL151C	S. cerevisiae	ESL1	EST/SMG-like	128713.6	1118
S000001414	YIL152W	S. cerevisiae			27214.2	235
S000001415	YIL153W	S. cerevisiae	RRD1	Resistant to Rapamycin Deletion	45076.7	393
S000001416	YIL154C	S. cerevisiae	IMP21	Independent of Mitochondrial Particle	39050.1	346
S000001417	YIL155C	S. cerevisiae	GUT2	Glycerol UTilization	72391.7	649
S000001418	YIL156W	S. cerevisiae	UBP7	UBiquitin-specific Protease	123137	1071
S000001419	YIL157C	S. cerevisiae	COA1	Cytochrome Oxidase Assembly	22050.7	197
S000001420	YIL158W	S. cerevisiae	AIM20	Altered Inheritance rate of Mitochondria	22840.1	204
S000001421	YIL159W	S. cerevisiae	BNR1	BNi1 Related	156857.6	1375
S000001422	YIL160C	S. cerevisiae	POT1	Peroxisomal Oxoacyl Thiolase	44731.9	417
S000001423	YIL161W	S. cerevisiae			27133.5	235
S000001424	YIL162W	S. cerevisiae	SUC2	SUCrose	60616.5	532
S000001425	YIL163C	S. cerevisiae			14006.7	117
S000001426	YIL164C	S. cerevisiae	NIT1	NITrilase superfamily	21621.4	199
S000001427	YIL165C	S. cerevisiae			12932.8	119
S000001428	YIL166C	S. cerevisiae	SOA1	SulfOnAte transport	61908.6	542
S000001431	YIL169C	S. cerevisiae	CSS1	Condition Specific Secretion	99694.3	995
S000001434	YIL172C	S. cerevisiae	IMA3	IsoMAltase	68681.1	589
S000001435	YIL173W	S. cerevisiae	VTH1	Vps Ten Homolog	174377.2	1549
S000001438	YIL176C	S. cerevisiae	PAU14	seriPAUperin	12862.7	120
S000001439	YIL177C	S. cerevisiae			197514.1	1758
S000001440	YIR001C	S. cerevisiae	SGN1	Slower Growth on Non-fermentable carbon sources	28963.6	250
S000001441	YIR002C	S. cerevisiae	MPH1	Mutator PHenotype	114058.3	993
S000001442	YIR003W	S. cerevisiae	AIM21	Altered Inheritance rate of Mitochondria	74723.6	679
S000001443	YIR004W	S. cerevisiae	DJP1	DnaJ Protein	48558	432
S000001444	YIR005W	S. cerevisiae	IST3	Increased Sodium Tolerance	17095.3	148
S000001445	YIR006C	S. cerevisiae	PAN1	Poly(A)-binding protein-dependent poly(A) riboNuclease	160242.2	1480
S000001446	YIR007W	S. cerevisiae	EGH1	Cryptococcus neoformans EGCrP2 Homolog	86969.5	764
S000001447	YIR008C	S. cerevisiae	PRI1	DNA PRImase	47693	409
S000001448	YIR009W	S. cerevisiae	MSL1	MUD Synthetic Lethal	12838.2	111
S000001449	YIR010W	S. cerevisiae	DSN1	Dosage Suppressor of NNF1	65668.8	576
S000001450	YIR011C	S. cerevisiae	STS1	Sec Twenty-three Suppressor 1	36485.1	319
S000001451	YIR012W	S. cerevisiae	SQT1	Suppressor of QSR1 Truncations	47125.1	431
S000001452	YIR013C	S. cerevisiae	GAT4		13260.9	121
S000001453	YIR014W	S. cerevisiae	VLD1	Vacuole Localized Dsc protein	27592.5	242
S000001454	YIR015W	S. cerevisiae	RPR2	RNase P Ribonucleoprotein	16359.4	144
S000001455	YIR016W	S. cerevisiae			28869.1	265
S000001456	YIR017C	S. cerevisiae	MET28	METhionine	21604.1	187
S000001457	YIR018W	S. cerevisiae	YAP5	Yeast AP-1	28393.8	245
S000001458	YIR019C	S. cerevisiae	FLO11	FLOcculation	136060.5	1367
S000001459	YIR020C	S. cerevisiae			11680.9	100
S000001460	YIR021W	S. cerevisiae	MRS1	Mitochondrial RNA Splicing	41298.4	363
S000001461	YIR022W	S. cerevisiae	SEC11	SECretory	18766	167
S000001462	YIR023W	S. cerevisiae	DAL81	Degradation of Allantoin	109179.7	970
S000001463	YIR024C	S. cerevisiae	INA22	INner membrane Assembly 22 kDa	24600.1	216
S000001464	YIR025W	S. cerevisiae	MND2	Meiotic Nuclear Divisions	42792.9	368
S000001465	YIR026C	S. cerevisiae	YVH1	Yeast vaccinia virus VH1 Homolog	41188.6	364
S000001466	YIR027C	S. cerevisiae	DAL1	Degradation of Allantoin	50113.8	460
S000001467	YIR028W	S. cerevisiae	DAL4	Degradation of Allantoin	71759.6	635
S000001468	YIR029W	S. cerevisiae	DAL2	Degradation of Allantoin	38706.1	343
S000001469	YIR030C	S. cerevisiae	DCG1	Dal80p-Controlled Gene	27311.7	244
S000001470	YIR031C	S. cerevisiae	DAL7	Degradation of Allantoin	62786.6	554
S000001471	YIR032C	S. cerevisiae	DAL3	Degradation of Allantoin	21718.9	195
S000001472	YIR033W	S. cerevisiae	MGA2	Multicopy suppressor of GAm1 (snf2)	127008.7	1113
S000001473	YIR034C	S. cerevisiae	LYS1	LYSine requiring	41473.3	373
S000001474	YIR035C	S. cerevisiae	NRE1	Novel REductase	27478.8	254
S000001475	YIR036C	S. cerevisiae	IRC24	Increased Recombination Centers	28802.5	263
S000001476	YIR037W	S. cerevisiae	HYR1	HYdroperoxide Resistance	18643.6	163
S000001477	YIR038C	S. cerevisiae	GTT1	GlutaThione Transferase	26792	234
S000001478	YIR039C	S. cerevisiae	YPS6	YaPSin	58181.8	537
S000001479	YIR040C	S. cerevisiae			13027.8	110
S000001480	YIR041W	S. cerevisiae	PAU15	seriPAUperin	13157.1	124
S000001481	YIR042C	S. cerevisiae			27421.4	236
S000001484	YKL001C	S. cerevisiae	MET14	METhionine requiring	23062.7	202
S000001485	YKL002W	S. cerevisiae	DID4	Doa4-Independent Degradation	26286.1	232
S000001486	YKL003C	S. cerevisiae	MRP17	Mitochondrial Ribosomal Protein	15028.9	131
S000001487	YKL004W	S. cerevisiae	AUR1	AUreobasidin A Resistance	45186.5	401
S000001488	YKL005C	S. cerevisiae	BYE1	BYpass of ESS1	67877.6	594
S000001489	YKL006W	S. cerevisiae	RPL14A	Ribosomal Protein of the Large subunit	15186.4	138
S000001490	YKL007W	S. cerevisiae	CAP1	CAPping	30689.5	268
S000001491	YKL008C	S. cerevisiae	LAC1	Longevity-Assurance gene Cognate (LAG1 Cognate)	49007.5	418
S000001492	YKL009W	S. cerevisiae	MRT4	mRNA Turnover 4	27061.3	236
S000001493	YKL010C	S. cerevisiae	UFD4	Ubiquitin Fusion Degradation protein	167753.9	1483
S000001494	YKL011C	S. cerevisiae	CCE1	Cruciform Cutting Endonuclease	41016.1	353
S000001495	YKL012W	S. cerevisiae	PRP40	Pre-mRNA Processing	69073.8	583
S000001496	YKL013C	S. cerevisiae	ARC19	ARp2/3 Complex subunit	19910	171
S000001497	YKL014C	S. cerevisiae	URB1	Unhealthy Ribosome Biogenesis	203286.5	1764
S000001498	YKL015W	S. cerevisiae	PUT3	Proline UTilization	111386.4	979
S000001499	YKL016C	S. cerevisiae	ATP7	ATP synthase	19812.8	174
S000001500	YKL017C	S. cerevisiae	HCS1	dna HeliCaSe	78273.7	683
S000001501	YKL018W	S. cerevisiae	SWD2	"Set1c, WD40 repeat protein"	37115.3	329
S000001502	YKL019W	S. cerevisiae	RAM2	RAS protein and A-factor Maturation	37491.9	316
S000001503	YKL020C	S. cerevisiae	SPT23	SuPpressor of Ty	121330.5	1082
S000001504	YKL021C	S. cerevisiae	MAK11	MAintenance of Killer	53679	468
S000001505	YKL022C	S. cerevisiae	CDC16	Cell Division Cycle	94987.3	840
S000001506	YKL023W	S. cerevisiae	SKA1	SKi Associated factor	32299.6	277
S000001507	YKL024C	S. cerevisiae	URA6	URAcil requiring	22932.5	204
S000001508	YKL025C	S. cerevisiae	PAN3	Poly(A) Nuclease	76448.3	679
S000001509	YKL026C	S. cerevisiae	GPX1	Glutathione PeroXidase	19488.8	167
S000001510	YKL027W	S. cerevisiae	TCD2	tRNA ThreonylCarbamoyladenosine Dehydratase	50273.3	447
S000001511	YKL028W	S. cerevisiae	TFA1	"Transcription Factor a, subunit 1"	54687.2	482
S000001512	YKL029C	S. cerevisiae	MAE1	MAlic Enzyme	74380.9	669
S000001513	YKL030W	S. cerevisiae			22967.3	201
S000001514	YKL031W	S. cerevisiae			15631.3	137
S000001515	YKL032C	S. cerevisiae	IXR1	Intrastrand cross (X)-link Recognition	67858.1	597
S000001516	YKL033W	S. cerevisiae	TTI1	Two Tel2-Interacting protein	118844.6	1038
S000001517	YKL034W	S. cerevisiae	TUL1	Transmembrane Ubiquitin Ligase	87870.1	758
S000001518	YKL035W	S. cerevisiae	UGP1	UDP-glucose pyrophosphorylase	55987.5	499
S000001519	YKL036C	S. cerevisiae			14916.7	130
S000001520	YKL037W	S. cerevisiae	AIM26	Altered Inheritance rate of Mitochondria	12944.6	118
S000001521	YKL038W	S. cerevisiae	RGT1	Restores Glucose Transport	128244.9	1170
S000001522	YKL039W	S. cerevisiae	PTM1		60003.6	523
S000001523	YKL040C	S. cerevisiae	NFU1	NifU-like protein	29159.4	256
S000001524	YKL041W	S. cerevisiae	VPS24	Vacuolar Protein Sorting	26236.2	224
S000001525	YKL042W	S. cerevisiae	SPC42	Spindle Pole Component	42272.9	363
S000001526	YKL043W	S. cerevisiae	PHD1	PseudoHyphal Determinant	40651.5	366
S000001527	YKL044W	S. cerevisiae	MMO1	Mini Mitochondria ORF	12459.1	106
S000001528	YKL045W	S. cerevisiae	PRI2	DNA PRImase	62267.4	528
S000001529	YKL046C	S. cerevisiae	DCW1	Defective Cell Wall	49545.7	449
S000001530	YKL047W	S. cerevisiae	ANR2	Avl Nine Related family 2	58876.2	516
S000001531	YKL048C	S. cerevisiae	ELM1	ELongated Morphology	72155.8	640
S000001532	YKL049C	S. cerevisiae	CSE4	Chromosome SEgregation	26846.8	229
S000001533	YKL050C	S. cerevisiae			103132.3	922
S000001534	YKL051W	S. cerevisiae	SFK1	Suppressor of Four Kinase	40461.9	353
S000001535	YKL052C	S. cerevisiae	ASK1	Associated with Spindles and Kinetochores	32043.9	292
S000001536	YKL053W	S. cerevisiae			14721.4	124
S000001537	YKL054C	S. cerevisiae	DEF1	RNAPII DEgradation Factor	83939.7	738
S000001538	YKL055C	S. cerevisiae	OAR1	3-Oxoacyl-[Acyl-carrier-protein] Reductase	31192.5	278
S000001539	YKL056C	S. cerevisiae	TMA19	Translation Machinery Associated	18726.2	167
S000001540	YKL057C	S. cerevisiae	NUP120	NUclear Pore	120404.6	1037
S000001541	YKL058W	S. cerevisiae	TOA2		13454.2	122
S000001542	YKL059C	S. cerevisiae	MPE1	Mutant PCF11 Extragenic suppressor	49644.6	441
S000001543	YKL060C	S. cerevisiae	FBA1	"Fructose-1,6-Bisphosphate Aldolase"	39609.1	359
S000001544	YKL061W	S. cerevisiae	BLI1	BLoc-1 Interactor	13514.3	113
S000001545	YKL062W	S. cerevisiae	MSN4	Multicopy suppressor of SNF1 mutation	69720.5	630
S000001546	YKL063C	S. cerevisiae			19011.9	167
S000001547	YKL064W	S. cerevisiae	MNR2	MaNganese Resistance	109737.1	969
S000001548	YKL065C	S. cerevisiae	YET1	Yeast Endoplasmic reticulum Transmembrane protein	23472.7	206
S000001549	YKL066W	S. cerevisiae			16667.4	147
S000001550	YKL067W	S. cerevisiae	YNK1	Yeast Nucleoside diphosphate Kinase	17168.9	153
S000001551	YKL068W	S. cerevisiae	NUP100	NUclear Pore	100005.5	959
S000001552	YKL069W	S. cerevisiae			19724.4	180
S000001553	YKL070W	S. cerevisiae			19833.1	169
S000001554	YKL071W	S. cerevisiae	OSI1	Oxidative Stress Induced	28043.6	256
S000001555	YKL072W	S. cerevisiae	STB6	Sin Three Binding protein	88851	766
S000001556	YKL073W	S. cerevisiae	LHS1	Lumenal Hsp Seventy	99543.3	881
S000001557	YKL074C	S. cerevisiae	MUD2	Mutant U1 Die	60464.4	527
S000001558	YKL075C	S. cerevisiae			52067.2	450
S000001559	YKL076C	S. cerevisiae	PSY1	Platinum SensitivitY	15171.7	127
S000001560	YKL077W	S. cerevisiae	PSG1	Pma1 Stabilization in the Golgi	46043.8	392
S000001561	YKL078W	S. cerevisiae	DHR2	DEAH-box RNA helicase	82730.5	735
S000001562	YKL079W	S. cerevisiae	SMY1	Suppressor of MYo2-66	73796.1	656
S000001563	YKL080W	S. cerevisiae	VMA5	Vacuolar Membrane Atpase	44185.8	392
S000001564	YKL081W	S. cerevisiae	TEF4	Translation Elongation Factor	46521.5	412
S000001565	YKL082C	S. cerevisiae	RRP14	Ribosomal RNA Processing	50507.5	434
S000001566	YKL083W	S. cerevisiae			23677.1	204
S000001567	YKL084W	S. cerevisiae	HOT13	Helper Of Tim	13637.9	116
S000001568	YKL085W	S. cerevisiae	MDH1	Malate DeHydrogenase	35652.3	334
S000001569	YKL086W	S. cerevisiae	SRX1	SulfiRedoXin	13858.3	127
S000001570	YKL087C	S. cerevisiae	CYT2	CYTochrome-c1-heme-lyase	26075.5	224
S000001571	YKL088W	S. cerevisiae	CAB3	Coenzyme A Biosynthesis	65205.8	571
S000001572	YKL089W	S. cerevisiae	MIF2	MItotic Fidelity of chromosome transmission	62437	549
S000001573	YKL090W	S. cerevisiae	CUE2	Coupling of Ubiquitin conjugation to ER degradation	50872.1	443
S000001574	YKL091C	S. cerevisiae			36074.7	310
S000001575	YKL092C	S. cerevisiae	BUD2	BUD site selection	126680.5	1104
S000001576	YKL093W	S. cerevisiae	MBR1	Mitochondrial Biogenesis Regulation	36932.2	339
S000001577	YKL094W	S. cerevisiae	YJU3		35566	313
S000001578	YKL095W	S. cerevisiae	YJU2		32325.6	278
S000001579	YKL096W	S. cerevisiae	CWP1	Cell Wall Protein	24256.4	239
S000001580	YKL097C	S. cerevisiae			15453.8	136
S000001581	YKL098W	S. cerevisiae	MTC2	Maintenance of Telomere Capping	39841.3	357
S000001582	YKL099C	S. cerevisiae	UTP11	U Three Protein	29764.8	250
S000001583	YKL100C	S. cerevisiae	YPF1	Yeast Presenilin-like Family 1	67505.4	587
S000001584	YKL101W	S. cerevisiae	HSL1	Histone Synthetic Lethal	169646.3	1518
S000001585	YKL102C	S. cerevisiae			11429.6	101
S000001586	YKL103C	S. cerevisiae	APE1	AminoPeptidase	57079.1	514
S000001587	YKL104C	S. cerevisiae	GFA1	Glutamine:Fructose-6-phosphate Amidotransferase	80035.5	717
S000001588	YKL105C	S. cerevisiae	SEG2	Stability of Eisosomes Guaranteed	125563	1132
S000001589	YKL106W	S. cerevisiae	AAT1	Aspartate AminoTransferase	51807	451
S000001590	YKL107W	S. cerevisiae			34522.4	309
S000001591	YKL108W	S. cerevisiae	SLD2	Synthetically Lethal with Dpb11-1	52280.5	453
S000001592	YKL109W	S. cerevisiae	HAP4	Heme Activator Protein	62389.6	554
S000001593	YKL110C	S. cerevisiae	KTI12	Kluveromyces lactis Toxin Insensitive	35324.7	313
S000001594	YKL111C	S. cerevisiae			12946.4	111
S000001595	YKL112W	S. cerevisiae	ABF1	ARS-Binding Factor 1	81693.3	731
S000001596	YKL113C	S. cerevisiae	RAD27	RADiation sensitive	43289.8	382
S000001597	YKL114C	S. cerevisiae	APN1	APurinic/apyrimidinic eNdonuclease	41442.5	367
S000001598	YKL115C	S. cerevisiae			15329.9	130
S000001599	YKL116C	S. cerevisiae	PRR1	Pheromone Response Regulator	58948.7	518
S000001600	YKL117W	S. cerevisiae	SBA1	increased Sensitivity to Benzoquinone Ansamycins	24058.8	216
S000001601	YKL118W	S. cerevisiae			11761.8	103
S000001602	YKL119C	S. cerevisiae	VPH2	Vacuolar pH	25292.8	215
S000001603	YKL120W	S. cerevisiae	OAC1	OxaloAcetate Carrier	35166.5	324
S000001604	YKL121W	S. cerevisiae	DGR2	2-Deoxy-Glucose Resistant 2	96033	852
S000001605	YKL122C	S. cerevisiae	SRP21	Signal Recognition Particle	18451.7	167
S000001606	YKL123W	S. cerevisiae			15204.4	126
S000001607	YKL124W	S. cerevisiae	SSH4	Suppressor of SHr3 deletion	65040.1	579
S000001608	YKL125W	S. cerevisiae	RRN3	Regulation of RNA polymerase I	72346.9	627
S000001609	YKL126W	S. cerevisiae	YPK1	Yeast Protein Kinase	76473.4	680
S000001610	YKL127W	S. cerevisiae	PGM1	PhosphoGlucoMutase	63111.4	570
S000001611	YKL128C	S. cerevisiae	PMU1	PhosphoMUtase	33769.6	295
S000001612	YKL129C	S. cerevisiae	MYO3	MYOsin	142497.2	1272
S000001613	YKL130C	S. cerevisiae	SHE2	Swi5p-dependent HO Expression	28238.4	246
S000001614	YKL131W	S. cerevisiae			19775.1	173
S000001615	YKL132C	S. cerevisiae	RMA1	Reduced Mating A	48143	430
S000001616	YKL133C	S. cerevisiae	RCI50	Respiratory Chain Interacting protein of ~50 kDa	54500.5	463
S000001617	YKL134C	S. cerevisiae	01-Oct	OCTapeptidyl aminopeptidase	88184.9	772
S000001618	YKL135C	S. cerevisiae	APL2	clathrin Adaptor Protein complex Large chain	81846.5	726
S000001619	YKL136W	S. cerevisiae			14290.6	132
S000001620	YKL137W	S. cerevisiae	CMC1	Cx9C Mitochondrial protein necessary for full assembly of Cytochrome c oxidase	13013.3	111
S000001621	YKL138C	S. cerevisiae	MRPL31	"Mitochondrial Ribosomal Protein, Large subunit"	15544.8	131
S000001622	YKL139W	S. cerevisiae	CTK1	Carboxy-Terminal domain Kinase	60525.1	528
S000001623	YKL140W	S. cerevisiae	TGL1	TriGlyceride Lipase	62973.6	548
S000001624	YKL141W	S. cerevisiae	SDH3	Succinate DeHydrogenase	22083.3	198
S000001625	YKL142W	S. cerevisiae	MRP8	Mitochondrial Ribosomal Protein	25081.3	219
S000001626	YKL143W	S. cerevisiae	LTV1	Low Temperature Viability	53343.5	463
S000001627	YKL144C	S. cerevisiae	RPC25	RNA Polymerase C	24313.9	212
