Accession,Gene,RNA.D0025,RNA.D005,RNA.D01,RNA.D015,RNA.D02,RNA.D025,RNA.D03,RNA.D035,RNA.D04,prot.D0025,prot.D005,prot.D01,prot.D015,prot.D02,prot.D025,prot.D03,prot.D035,prot.D04,XIA.cluster
P23638,PRE9,1.285055993,1.352869782,1.364338405,1.450959281,1.419333393,1.666357123,2.076241758,2.341044718,2.920334334,1454.221169,1536.438424,1635.287704,1836.834154,1795.048847,1627.642061,1579.403899,1325.014125,1379.940174,2
P23639,PRE8,1.086450649,1.319304107,1.304799452,1.399763374,1.422537133,1.535213492,1.932313463,2.016098625,2.570592738,861.8694749,917.3226007,1000.110822,1115.84993,1138.066706,1069.96832,972.7732187,859.495719,865.0524034,2
P23641,MIR1,1.261481603,1.760411632,2.173000618,2.78961945,4.384250293,5.667061397,7.267573445,8.235570214,8.936625107,1898.09953,2569.986545,3684.219207,4184.148009,4406.375926,3756.333157,4216.251451,2955.505314,3208.463665,2
P23642,VAN1,0.56300332,0.589886632,0.579628851,0.616331634,0.689956333,0.82764613,0.994143806,1.367699094,1.571691762,43.84771512,47.29946395,51.30755036,53.49502841,50.34056798,47.21711051,47.75485204,42.23577011,41.05997808,2
P23644,TOM40,0.758744046,0.889131256,0.905313427,1.083683017,1.549648038,1.965626979,2.771229618,3.065907678,3.225748773,786.394333,872.35005,1101.075571,1336.207951,1499.680142,1743.755463,1859.088716,1654.181793,1555.268288,2
P23724,PRE7,1.012035373,1.274481152,1.283300245,1.377256557,1.330030887,1.469844441,1.925855572,1.955295468,2.433148923,1060.422711,1128.443651,1119.27927,1255.186446,1201.878102,1109.910704,1030.30773,889.8116425,863.7367362,2
P23776,EXG1,1.193040609,1.77860176,1.795531658,1.887104043,1.872634992,2.347888433,2.828779112,4.610257881,5.9699297,220.8823623,203.7538648,186.8664391,188.0731167,NA,160.0547998,135.3981997,175.5673678,213.0865694,2
P23833,SCO1,0.492826289,0.444514759,0.434169307,0.498118753,0.659974596,0.885972996,1.372102864,1.677100077,1.833345025,99.41378761,93.86172777,118.8217414,148.6659594,NA,189.9061049,190.8457645,201.9713455,186.8934675,2
P24000,RPL24B,1.78731292,2.448870433,2.669970475,3.508803768,4.217302241,6.522221479,7.618581681,10.94098203,13.81868186,457.5654953,511.2449017,693.2655953,882.0220245,1039.833554,1107.502138,1126.399891,1182.161113,1267.552436,2
P24276,SSD1,1.630617128,0.688753941,0.652106412,0.599912757,0.570642822,0.580637538,0.763960558,0.956127887,1.148131976,143.5132691,143.8362556,149.5502996,162.2244004,152.3460178,130.0757389,129.5818772,127.7662408,122.3296718,1
P24279,MCM3,0.204607683,0.277706282,0.256766747,0.307783254,0.394398735,0.497185747,0.594562234,0.758755179,0.918641417,NA,20.48369619,39.27517913,NA,68.17064995,74.51566076,75.18516212,80.27703935,73.67586367,2
P24280,SEC14,0.548706493,0.718150719,0.697684396,0.714398103,0.835181272,1.015469501,1.228048969,1.486086244,1.831444816,597.1033627,689.4372648,907.9746626,1054.163828,1077.113186,1059.696415,965.4376421,941.0857889,1011.398284,2
P24521,ERG8,0.390256357,0.485025816,0.578066727,0.64622467,0.743773074,0.862749767,1.158235645,1.260002739,1.443181718,170.0219107,190.8605792,261.715181,303.9810737,289.1725187,248.221775,242.5113311,240.2516973,212.2709513,2
P24583,PKC1,0.467587757,0.283608073,0.252524487,0.264177875,0.290901246,0.366651639,0.482118052,0.606127245,0.691816043,NA,26.07899663,NA,NA,29.19197726,NA,NA,NA,NA,2
P24783,DBP2,0.26498331,0.444531711,0.519910646,0.660968261,0.834587835,1.075012407,1.089464404,1.392156704,1.69956128,222.1668501,301.9518362,475.7986417,647.0239888,811.6111678,884.3305809,877.3599115,985.3353173,1128.59121,2
P24784,DBP1,1.022633094,0.391325315,0.330185544,0.25437028,0.16976775,0.139181046,0.167877619,0.179920601,0.18943301,179.4577634,159.6440979,110.4764595,NA,NA,NA,NA,NA,NA,1
P25037,UBP1,0.442634013,0.384060098,0.38354231,0.466262865,0.62062626,0.878185432,1.194618346,1.457180883,1.695100481,74.80538568,80.83091046,86.71465199,78.03155433,109.5400784,101.183805,111.5187404,123.4294265,113.9658047,2
P25038,IFM1,0.190487354,0.186722854,0.239388743,0.323105862,0.4719965,0.700548273,1.133397575,1.350830668,1.433960954,20.22789631,NA,36.66329458,51.13418476,NA,69.65477231,87.84506793,76.96663098,65.12956239,2
P25039,MEF1,0.419984994,0.351199907,0.490799734,0.634852351,1.046945163,1.461382098,2.277302765,2.892587211,3.389258933,134.2647798,144.9697368,255.4024102,320.8949408,382.2105023,454.3147501,493.8270825,474.3220607,461.6498536,2
P25043,PUP1,0.995145018,1.207141162,1.212123854,1.237915142,1.224302812,1.418648707,1.657841569,1.926233954,2.409568846,563.8790673,578.3687242,619.1449707,664.3151478,635.6820596,580.8271881,580.5342235,531.4246372,548.3680739,2
P25045,LCB1,0.279862277,0.408204808,0.540381975,0.64605256,0.818119587,1.027152993,1.393186851,1.709592908,2.033083974,80.35746657,88.48149181,109.4362986,124.19721,NA,122.4565161,126.5943274,106.649832,105.1721019,2
P25087,ERG6,0.738675034,2.160150823,3.79217091,3.730413517,3.248594525,2.700084681,2.613847976,2.107991961,2.436949285,2186.016304,3838.076974,5799.771126,6315.537472,5363.459311,3931.803873,2535.080898,1774.188239,1757.290547,2
P25293,NAP1,1.833501705,1.082385624,1.026053581,1.069244934,1.272145659,1.567853576,1.994530371,2.278209032,2.600633531,252.0670072,278.1697682,314.2227074,359.8991257,401.7832571,399.6973077,366.4851645,371.4407337,374.7626691,2
P25294,SIS1,2.390956864,2.953124413,2.378006443,2.060314911,1.591926302,1.435179287,1.82654362,1.889709875,2.292423446,3007.756213,2887.406525,2123.101436,1982.552228,1615.857214,1363.74732,1240.269542,980.4565564,992.3194054,1
P25296,CNB1,1.012397735,0.954290769,0.983496533,1.019914432,1.027330882,1.246850535,1.740978256,1.876143013,2.207865414,160.704263,138.0725769,174.3489274,222.984955,NA,NA,185.9622522,158.595444,NA,2
P25298,RNA14,0.535942277,0.314016774,0.317564916,0.34941067,0.425475861,0.549452108,0.717730621,0.933093584,1.104127242,22.68843433,NA,NA,NA,NA,NA,NA,NA,NA,2
P25332,RBK1,0.751987215,0.687842866,0.627698963,0.589190257,0.524444345,0.675722269,1.004465411,1.108304676,1.399491034,182.1052718,174.3297423,187.4644394,210.9115805,187.3003336,184.8851012,195.1500154,195.4060673,191.1775557,2
P25335,DAL2,0.434499708,0.362502794,0.284301256,0.328065747,0.621866631,0.955764395,1.337575721,1.194929858,1.019693421,NA,NA,NA,NA,NA,NA,148.570342,NA,NA,2
P25339,PUF4,0.545769213,0.319973252,0.325372122,0.398586237,0.496022645,0.677615246,0.845518272,1.026326616,1.174987982,NA,NA,54.63395523,NA,65.63285111,NA,69.30074232,NA,NA,2
P25340,ERG4,0.281377379,0.621805767,1.210969349,1.527403436,1.794198975,1.713393525,1.581362747,2.030919057,2.358567844,37.41216469,61.03600671,122.9553406,131.7504721,143.4280468,83.85814779,90.62920455,73.00785135,70.83945357,2
P25342,CDC10,0.484358853,0.696890874,0.672557126,0.741020486,0.877393533,1.160806728,1.549953741,1.558753094,1.697677294,398.6216068,401.0021156,535.1449277,573.7172164,614.9870986,598.7596628,566.9350989,486.0869316,486.6087488,2
P25343,RVS161,0.98004745,0.907002994,0.894718411,0.944593229,0.894772091,1.037467784,1.507836931,1.575527757,1.910768846,450.932471,459.2794516,484.3252017,539.4155766,524.0094804,467.8005568,443.3566775,407.4094131,398.5932043,2
P25349,YCP4,1.618422527,1.64888582,1.64113017,1.906384646,2.365770737,2.840409864,3.115203162,2.373757786,2.301830202,2079.843605,1911.36485,1904.10614,2289.454358,2302.932662,2207.102607,1646.620564,1111.978751,962.1204606,2
P25365,SED4,0.183922888,0.243377458,0.267288892,0.313165905,0.446250008,0.559989394,0.728685125,0.92987232,1.126815688,NA,NA,30.44514051,NA,NA,NA,NA,NA,46.14208716,2
P25367,RNQ1,0.95919529,0.853455701,0.772120974,0.768780181,0.974267407,1.165389763,1.691272173,1.473102132,1.86151268,1251.072552,1111.776047,1051.776625,1189.666274,1197.93391,1237.166922,1118.979297,994.9183895,941.4513069,2
P25368,RRP7,0.643861302,0.52764231,0.552547877,0.574313757,0.637827523,0.896021202,1.264399809,1.419854216,1.655154457,80.58316632,85.01784819,124.491588,139.8093692,174.1994627,178.4435877,175.2537854,173.636177,182.0451339,2
P25369,LSB5,0.637742039,0.656989292,0.660215786,0.645887552,0.639286351,0.757514245,0.97549006,1.026394992,1.221099391,136.3700208,144.1092618,191.9005742,218.0598712,242.9076247,228.7675152,225.9845558,216.8187869,211.0585263,2
P25371,ADP1,0.34124301,0.38871853,0.401164552,0.394157322,0.396770797,0.435566439,0.54601791,0.630436978,0.688410133,16.02388084,13.68938914,11.53260148,NA,NA,9.786660795,NA,NA,NA,2
P25372,TRX3,1.787121011,1.484492143,1.364041957,1.167451461,0.843240784,0.849590866,1.082928847,0.963566815,1.301011414,769.4639449,782.5027774,661.2021649,634.0601803,526.585398,428.5861838,338.0985384,273.1718668,242.5265612,1
P25373,GRX1,2.634829618,2.495207245,2.368691371,2.43574221,1.880047018,2.139362004,2.725779437,2.604179606,2.654861289,1141.374534,1176.705957,1088.039976,1152.251681,1043.002936,918.1812451,848.3104146,684.3820798,660.8565267,1
P25374,NFS1,1.247124435,0.878508583,0.793732965,0.779070845,0.84845736,0.923109359,1.226998991,1.312173768,1.523120591,180.6924915,191.6411083,219.4584348,274.9537734,313.2658966,345.8466339,349.748658,318.9545735,323.4881956,2
P25375,PRD1,0.542948047,0.684496314,0.729886376,0.754037689,0.789227559,0.950642692,1.309198108,1.587013304,1.891315188,212.1733231,236.2787165,268.384917,289.0547326,311.9807729,300.9150582,311.61542,326.3470601,341.0091762,2
P25382,RSA4,0.128660481,0.174024056,0.207592519,0.294950656,0.379983593,0.534480946,0.642809674,0.782567931,0.963648401,NA,54.26485643,54.35594692,68.890126,106.1763877,NA,86.1651672,79.64030666,95.03144065,2
P25441,RPC53,0.340048515,0.370590624,0.318754742,0.370036591,0.466165943,0.656321356,0.907587223,1.069955118,1.332661667,18.10035284,17.66342474,21.91058881,27.6866653,34.13053428,35.51518218,34.97507071,33.274445,39.05538403,2
P25443,RPS2,2.31946637,3.689858121,4.09021557,5.071482437,6.640491979,9.288574144,9.360228813,14.12262129,18.50428931,4714.062266,5226.653784,6574.664476,8167.691077,8964.810371,9893.689508,10661.47368,11295.62082,11968.52762,2
P25451,PUP3,2.039785677,1.594380779,1.708134029,1.633100394,1.554863362,1.922577517,2.336608688,2.926593863,3.962507632,358.3731325,405.1513133,416.9070852,NA,NA,NA,415.1053984,NA,NA,2
P25491,YDJ1,2.255681606,2.464115333,2.033355419,1.92164202,1.853215192,2.172365176,2.791927645,3.032741251,3.607500425,1624.131566,1583.504281,1347.692673,1470.801547,1549.209956,1597.072087,1614.805038,1433.366723,1504.109298,2
P25555,GBP2,0.803969971,0.755644536,0.752588169,0.790767382,1.015099205,1.309670777,1.847857208,2.250893929,2.741119911,76.44451372,67.46653777,137.1331148,168.7740651,178.2631447,173.2430819,195.5403873,244.2060021,246.8284168,2
P25558,BUD3,0.155524947,0.127744202,0.141720868,0.168151536,0.209920826,0.272282486,0.328513085,0.474606961,0.528882661,NA,NA,3.378958959,4.304518412,NA,4.637339235,4.714413166,4.417682823,4.52707119,2
P25566,MXR2,1.390697291,1.246726512,1.160609276,1.012194414,0.832556678,0.82174545,0.984163506,0.967468663,1.183124642,NA,38.72741883,37.38428547,NA,NA,NA,NA,23.54237124,NA,1
P25567,SRO9,0.024343604,0.021268872,0.029892301,0.045092236,0.056398411,0.108040368,0.150300679,0.240017515,0.222831752,70.92673714,105.7048358,183.9928645,259.2515431,329.6556495,352.4067747,387.1881687,445.3320446,524.9447588,2
P25569,GID7,0.366378656,0.369560825,0.342375808,0.308869913,0.323337874,0.296371652,0.384012597,0.385965168,0.426790819,68.18570364,98.42431143,NA,NA,NA,NA,NA,NA,NA,1
P25573,MGR1,0.320527172,0.333187336,0.332353424,0.355075884,0.395518136,0.421913417,0.662807224,0.634348653,0.748308961,28.29939671,NA,NA,40.95093745,39.45639652,NA,41.18176257,NA,NA,2
P25574,EMC1,0.364251052,0.537025871,0.587075741,0.642822907,0.713958212,0.865715842,1.093348247,1.280095534,1.534463252,72.79330599,81.09147751,83.64254387,80.12807241,81.02959264,68.44163167,70.02304677,52.97444194,50.92960744,2
P25576,POF1,0.294871188,0.393307159,0.338746272,0.378227507,0.398897338,0.529337219,0.786509317,0.955538916,1.143338771,NA,16.72661154,NA,NA,NA,NA,NA,NA,NA,2
P25582,SPB1,0.179251775,0.239222722,0.313865083,0.410215166,0.57832637,0.799129337,1.023465559,1.332557751,1.542021313,42.80812759,44.88350975,59.49120483,71.80987036,80.43136484,86.96703534,99.38648387,96.75899505,109.8665125,2
P25586,KRR1,0.433071008,0.487405594,0.467733155,0.556339878,0.653461436,0.902572405,1.029343132,1.203794203,1.531202215,84.54277753,95.06912061,126.1117678,161.6177898,182.5787161,187.8287665,182.9198792,175.7607199,193.4671575,2
P25605,ILV6,1.172847252,1.404464636,1.794668377,1.895190023,1.997162273,1.909322418,2.681819657,2.803933071,3.389886473,1353.08179,1810.763797,2526.445007,2740.150542,2520.77606,2313.443002,2228.783456,2262.154346,2246.762704,2
P25613,ADY2,8.053922897,1.797337811,1.378146145,1.242412763,1.429844229,1.372180848,0.759268147,0.047644731,0.045556392,533.573253,313.9659316,NA,180.2253051,NA,NA,NA,NA,NA,1
P25617,YCR016W,0.202171855,0.257767412,0.298830394,0.369307543,0.453015654,0.629003833,0.867685924,0.936717519,1.134513398,39.23278133,40.79035873,55.52795057,75.93722933,74.5016191,71.87793022,70.29834895,58.29918737,70.91293315,2
P25623,SYP1,0.406007532,0.347774842,0.3917271,0.38320038,0.456214505,0.512918466,0.600670354,0.763932046,0.792244239,233.900501,242.3138723,258.761253,271.2532319,252.3717437,236.2454857,213.1530317,185.4712938,190.1899099,2
P25626,IMG1,0.922683929,0.773578189,0.810046711,1.004153511,1.368400904,1.836931117,3.066834818,3.788798562,4.490191703,149.3920893,174.9535369,319.572101,413.903267,429.6897562,520.785647,532.4817354,550.4089083,565.3618221,2
P25627,BUD23,0.871414394,0.449372724,0.482119928,0.533483977,0.636986854,0.729672292,0.978015826,1.105869637,1.592580868,NA,NA,NA,NA,NA,NA,NA,NA,152.2272489,2
P25631,YCR051W,0.83031472,0.86611029,0.896995071,1.007393068,1.318135414,1.564089886,1.904678589,1.497087256,1.848645684,NA,164.7216087,NA,NA,237.4058628,259.7293222,NA,174.6563563,NA,2
P25632,RSC6,0.290056871,0.312333294,0.333385634,0.369863359,0.467713609,0.561964847,0.683777691,0.766852746,0.899353711,NA,NA,95.03843684,NA,NA,137.182702,NA,NA,NA,2
P25635,PWP2,0.134068232,0.1746528,0.228729967,0.306244117,0.436179795,0.587943941,0.75095505,1.00507034,1.23484579,41.59914231,49.1351542,65.43496286,NA,83.97959514,NA,101.700259,NA,NA,2
P25642,IMG2,1.034037175,0.635500319,0.760832199,0.9750391,1.409558481,2.127032021,3.692336683,4.744119291,5.069595628,121.3272127,140.3068875,226.1556103,303.8467017,349.2357286,396.2768818,463.031364,471.5457916,450.7777451,2
P25654,YCR090C,0.536450376,0.591723748,0.486769866,0.528864998,0.683824796,0.986357646,1.271454,1.478921897,1.94561373,194.4914571,176.8320831,169.837682,206.8566479,230.3635792,213.3559715,226.3795917,181.0310167,183.9911489,2
P25655,CDC39,0.214946066,0.170867477,0.212870294,0.257132871,0.361843953,0.445616304,0.542278018,0.83627592,0.965740686,45.65693147,57.24776667,63.09196298,77.27999883,79.89600755,68.60539535,73.01766819,62.14831529,59.16785113,2
P25659,FUB1,1.975882214,0.87185179,0.680787655,0.611474501,0.521276496,0.523668428,0.597318359,0.607193089,0.782347989,NA,NA,NA,NA,NA,NA,NA,41.41191564,NA,1
P25694,CDC48,1.651456982,1.599169603,1.584880545,1.565374811,1.559514557,1.721407581,2.118031135,2.566332179,3.037648756,2299.187234,2292.233025,2145.32981,2335.844468,2243.387601,1990.577709,1908.008648,1722.489856,1725.704675,2
P25719,CPR3,1.241804638,1.172282299,1.140627706,1.322764516,1.736733117,2.231497829,2.826225101,3.424461165,3.405571,1250.378762,1376.01886,1760.293751,2147.631299,2389.333658,2562.252463,2722.558793,2511.439395,2218.272257,2
P25846,MSH1,0.093634069,0.12165602,0.135761446,0.173579218,0.259785312,0.333374395,0.449154544,0.535618713,0.587194193,NA,NA,NA,NA,NA,NA,NA,11.7822403,NA,2
P25847,MSH2,0.168385767,0.226677747,0.216218159,0.232504949,0.283611926,0.345880085,0.364610945,0.527299841,0.634172912,19.50503457,21.50834554,26.55564649,27.63030974,31.51265627,34.94785555,35.78166075,28.33499318,33.45842252,2
P26263,PDC6,1.672128252,1.836044476,0.602828546,0.354422751,0.124832462,0.076265215,0.086448578,0.056776468,0.055514417,54.7216403,51.63086925,18.4410997,NA,NA,NA,NA,NA,NA,1
P26321,RPL5,1.899806802,2.84875191,3.016774766,3.819252992,5.295584738,7.798205201,9.900814979,12.4189127,16.82526088,2963.165036,3260.891988,4268.957971,5505.160108,6011.15729,6719.278334,6862.184085,7089.163303,7560.535144,2
P26570,PPZ1,0.375085811,0.402632286,0.380031538,0.416470582,0.513263841,0.775111377,1.103108284,1.457827455,1.680334518,NA,11.99049335,14.67956878,NA,NA,NA,18.92357124,NA,NA,2
P26637,CDC60,0.421116663,0.481494449,0.512174155,0.581580461,0.75069098,0.961379622,1.187901574,1.675049229,2.08411134,539.0655639,600.1105113,749.5806528,869.2765611,954.5620246,997.0712482,1056.955186,1156.978646,1279.859525,2
P26754,RFA2,0.678772136,0.698235527,0.761613518,0.731664522,0.768290939,0.881710057,0.936732211,1.107014192,1.375714625,474.1635722,NA,634.3773171,NA,NA,NA,575.0480725,NA,NA,2
P26755,RFA3,1.145782145,1.500240793,1.273140788,1.241252912,1.238198411,1.555937313,1.610703676,1.867207592,2.165802263,NA,287.8749895,284.2548921,NA,NA,NA,NA,NA,NA,2
P26783,RPS5,3.272586292,4.8818937,5.212415037,6.20370326,8.212143985,11.72459481,13.11428335,17.82405429,22.13274981,4411.891895,5097.483507,6463.811749,8234.394004,8929.742734,9932.978343,10011.92381,11003.50737,11558.50948,2
P26784,RPL16A,1.626429691,2.07053568,2.240488455,2.913509029,3.758378419,5.576719506,6.377494899,9.021329432,10.82784774,1528.906152,1548.935673,1935.368519,2529.425741,2831.219105,2976.577838,3114.734755,3232.876225,3453.218959,2
P26785,RPL16B,1.721257601,2.807531214,2.948072551,3.83844199,4.993592928,7.444306967,8.09443926,12.16993984,14.85199618,2578.772608,2994.449473,3819.488066,4889.045402,5526.927221,6142.315277,6171.333123,6371.528549,6729.66575,2
P26786,RPS7A,2.032376488,2.866701839,2.767908285,3.578670466,4.089320705,6.29329262,6.009804278,9.662494917,12.55525014,4179.216738,4853.492019,6245.419311,7799.858306,8385.160922,9151.406109,9507.644819,9798.450751,10374.48567,2
P26793,RAD27,0.373632103,0.457646962,0.482078441,0.557156817,0.630435479,0.829078172,0.997805276,1.077146622,1.258401956,64.31934479,64.81154151,92.77702315,114.3162114,109.9338944,109.9847516,112.4263739,97.6106337,90.51782618,2
P27351,APL1,0.377387495,0.22545267,0.279917667,0.328702288,0.395792241,0.558582508,0.727655142,0.739431087,0.758195775,23.64355901,18.14856284,19.82847738,NA,NA,NA,NA,NA,NA,2
P27466,CMK1,0.583859834,0.56359861,0.525047628,0.519068752,0.5193852,0.651581374,0.891071207,1.366424044,1.699911916,165.6530987,161.6732807,178.1853217,189.7015554,189.3483265,219.0060782,258.0710355,334.3822785,339.0196556,2
P27472,GSY2,0.350643173,0.438426628,0.482806317,0.444625809,0.372721234,0.300015737,0.338960612,0.448087491,0.456236122,272.41357,291.7932527,222.6277114,195.1092971,133.5229519,77.09007383,61.5560604,54.03291551,76.54501965,1
P27476,NSR1,0.458295541,0.74627493,0.959542841,1.232610094,1.566098546,2.041176549,2.497153506,2.736111467,3.7009439,755.5107957,975.1067696,1087.955097,1316.441069,1489.458488,1498.793432,1494.340833,1354.712334,1470.159286,2
P27616,ADE1,0.63702362,0.98980999,1.160446201,1.524468386,2.237331086,2.850482455,3.9943034,4.030957836,4.804003307,1121.651949,1378.772344,1640.143859,2069.038713,2346.421842,2473.08182,2444.924601,1900.259446,1935.120477,2
P27637,BUD14,0.28601546,0.360460831,0.329081754,0.373431886,0.489782354,0.660508363,0.929122267,1.004257451,1.168829841,12.91745096,NA,13.39677894,NA,22.56586934,30.32799838,26.65536388,17.55436976,20.10197871,2
P27692,SPT5,1.067971278,0.391902214,0.414727557,0.452007876,0.580643917,0.710021099,0.927582561,1.270194195,1.511655402,129.7850318,139.4232391,170.8876043,203.3053764,217.9920637,225.7939999,217.3745327,237.1134685,243.0944605,2
P27697,COQ8,0.202737802,0.269800994,0.257743246,0.286930539,0.362528922,0.444409005,0.581232946,0.646509336,0.742109391,61.50798548,86.55767171,50.35013564,NA,NA,60.28628602,75.84874531,NA,80.80739689,2
P27796,POT1,3.034866446,1.819188723,1.023599675,0.784162608,0.550321096,0.480529658,0.77059071,0.237613668,0.163294015,934.8314959,833.2651978,596.4989897,459.1858312,404.6593985,294.6265959,207.5339482,63.85690897,NA,1
P27809,KRE2,1.541684421,1.092048638,1.03401497,1.101982485,1.144161612,1.277225197,1.591642865,1.825598213,2.131232444,91.67185709,109.1335984,141.7858289,154.4394845,133.7426557,119.5406256,112.6263182,104.0947505,105.4982114,2
P27810,KTR1,1.077704723,0.818496203,1.007937757,1.071858558,1.106197716,1.214057074,1.466920689,1.76159984,2.127690387,80.39537042,108.0139882,172.3271477,194.8621953,168.8362691,NA,145.0323826,141.7670424,148.9290484,2
P27882,ERV1,1.00904856,0.749501124,0.784277694,0.909439348,1.049069712,1.40602492,1.959600004,1.950572507,2.222242876,100.7806829,101.4103773,NA,137.1389375,NA,142.4897705,NA,NA,NA,2
P27929,NAM9,0.559418611,0.414008678,0.519096565,0.675263848,1.023757301,1.353072653,2.350356367,2.836711879,3.400739713,92.20558882,115.1918757,194.1767758,245.3993427,289.0827831,330.7441761,362.8909026,370.0659807,368.3758753,2
P28000,RPC19,0.46684416,0.690538063,0.742558893,0.911094881,1.189556001,1.500972981,1.705595324,1.969791231,2.222670405,163.7544868,190.7331019,232.0548689,310.7175405,313.1046597,330.3965959,356.1134341,315.9875343,379.3643526,2
P28007,GAR1,0.558928333,0.768204211,0.894853099,1.158839266,1.74358853,2.406846994,2.993435015,3.917747198,4.738193816,747.3928293,778.577299,902.5039985,1076.941506,1206.354164,1236.863999,1279.648195,1247.359709,1312.513404,2
P28239,PPA2,0.331774023,0.45149419,0.449251609,0.569597521,0.717858901,1.031213359,1.393366283,1.676294534,1.738703791,NA,NA,NA,NA,135.7922746,NA,149.1067646,141.5516067,133.393129,2
P28240,ICL1,0.596123502,0.816628671,1.065754286,1.266255123,1.352481139,1.09369641,1.535596593,1.080979033,0.796454099,691.7769421,1115.773343,1289.600044,1540.240893,1619.894556,1107.026787,999.6122146,469.1370553,237.4833752,2
P28241,IDH2,0.701998281,0.99599752,1.19150218,1.660718016,2.843048752,4.61624068,7.998006654,9.732713666,10.51033419,1199.447717,1473.814853,2148.170962,2860.376743,3650.812622,4459.9676,6059.406774,6092.457123,5135.876744,2
P28263,UBC8,3.419066159,1.086135899,1.070678059,0.960803226,0.886483495,0.760503549,1.002319157,1.122920326,1.052631249,NA,NA,231.114149,NA,NA,NA,NA,NA,NA,1
P28272,URA1,0.333799785,0.472298989,0.486854191,0.63770669,0.827601576,1.139830297,1.48218729,2.118509551,2.740543855,433.9304975,451.0918261,513.835681,660.0004902,753.4912234,789.9936483,872.1715899,987.2267919,1106.348512,2
P28273,OXP1,0.173769756,0.180530479,0.165087589,0.196283716,0.279042157,0.330997845,0.427057836,0.512724244,0.551636126,71.98238625,78.15639927,81.85245738,79.14217276,80.45966867,70.10735961,73.22429774,59.81375633,53.064584,2
P28274,URA7,0.189920511,0.327805945,0.415588061,0.5925376,0.816412796,1.134955226,1.519823679,1.821676572,2.248723911,181.5167116,219.252503,282.2673947,351.9458732,388.8748011,411.0736669,443.2250116,458.2996949,502.2157993,2
P28321,YJU3,0.930669836,1.114813698,1.041175994,0.989343558,0.951515418,1.101968868,1.463384757,1.687494162,1.964448488,254.9926216,277.7624764,318.283128,358.9803252,395.9193988,361.1289888,383.6611049,366.5273614,343.3801246,2
P28495,CAP1,0.756710416,0.89655015,0.882599849,0.92551371,0.903169893,1.091856257,1.415832698,1.482023276,1.591064209,741.8481973,728.0142354,707.0222419,793.9019337,798.9282439,764.2619735,642.3978074,637.0381443,591.8477165,2
P28625,YIM1,1.68266649,1.224208419,0.847149816,0.758547129,0.61433212,0.607188827,0.683815287,0.665888971,0.724057052,300.5643431,279.5550168,212.8180711,166.9792847,NA,NA,139.3570623,101.6925626,NA,1
P28707,SBA1,1.941465926,2.230853115,2.385630301,2.367308112,2.424550069,2.836913039,3.999883833,4.305623846,5.55244388,2892.762138,2973.494982,3092.514555,3331.882223,3341.035222,3255.365719,3089.732448,2743.730297,2665.995515,2
P28737,MSP1,0.774680311,0.390332633,0.432487309,0.496140479,0.607357896,0.785140491,1.11924797,1.479178126,1.761330004,35.09544617,NA,NA,NA,NA,99.30344225,NA,NA,NA,2
P28777,ARO2,0.564116065,0.705345286,1.058692058,1.295338438,1.472944014,1.701017664,2.115011527,2.713556246,3.388613062,438.4766037,594.5393737,902.1738296,1065.913826,1088.290184,1056.8366,1094.256919,1174.732634,1258.546602,2
P28778,MRP17,0.925695831,0.669942844,0.697279664,0.89841763,1.199686828,1.729584257,2.418366374,3.279657695,3.718600451,199.3286068,232.6247802,406.8396358,489.1604649,555.3221856,677.1374423,828.1177717,820.2108824,791.5536666,2
P28789,HEM3,0.273568667,0.352431357,0.370119935,0.484708253,0.785220352,1.290441018,1.861148155,2.173833438,2.334201528,132.9006405,144.3403716,185.7549585,226.2636509,323.8778324,358.7365975,409.2963105,368.2060038,339.2238731,2
P28817,EHD3,0.644020377,0.782312619,0.719689137,0.796001577,0.992134124,1.199996103,1.665888842,1.276731755,1.366063838,219.1704119,214.8121764,213.8030564,277.5496641,269.7343915,285.4294457,254.1149947,182.8213491,NA,2
P28834,IDH1,0.740170906,1.005575951,1.196595029,1.699460346,3.016681323,4.486937292,6.593957845,7.728648246,8.035306124,1357.851166,1650.182582,2398.892718,3163.719584,4086.188986,5054.737075,6460.16266,6022.271143,4940.985003,2
P29029,CTS1,0.60973744,0.636408453,1.378081094,1.612316656,2.219639393,2.871067091,3.935088186,5.68298882,7.133068704,40.23437153,40.42065457,70.86566248,85.52254459,95.34440044,97.59430147,92.1108754,77.18346085,56.55455622,2
P29055,SUA7,1.017762272,0.567163496,0.565279098,0.579902997,0.657227211,0.766680582,1.026440423,1.262227295,1.609326243,NA,NA,71.13452465,72.92012496,NA,NA,89.0045789,97.80540172,103.2779723,2
P29295,HRR25,0.726752837,0.620944429,0.640589195,0.702687625,0.827992845,1.033638334,1.348724836,1.597808662,1.846451635,41.74071204,51.32998886,NA,NA,NA,NA,NA,NA,NA,2
P29311,BMH1,2.644020209,3.450742957,3.716620444,3.611571315,3.530521634,4.145838467,6.00097918,6.627060678,8.152080669,1610.953111,1802.669632,1700.630061,2079.435072,1974.862793,1882.473094,1822.191122,1666.891036,1608.448874,2
P29366,BEM1,0.577344317,0.318153173,0.312482786,0.386806781,0.507123063,0.631057754,0.868806563,0.92723161,0.994560534,36.92317672,39.46556265,54.22841765,33.45832619,NA,59.95328676,62.22919869,63.32172273,50.44345763,2
